Crm Cd,Crm Cd Desc,Part 1-2,Score
110,CRIMINAL HOMICIDE,1,25000
113,"MANSLAUGHTER, NEGLIGENT",1,20000
121,"RAPE, FORCIBLE",1,17000
122,"RAPE, ATTEMPTED",1,17000
815,SEXUAL PENETRATION W/FOREIGN OBJECT,1,17000
820,ORAL COPULATION,1,17000
821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,1,17000
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,17000
231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1,17000
250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",1,17000
251,SHOTS FIRED AT INHABITED DWELLING,1,17000
310,BURGLARY,1,15000
320,"BURGLARY, ATTEMPTED",1,15000
648,ARSON,1,15000
926,TRAIN WRECKING,1,15000
434,FALSE IMPRISONMENT,2,15000
435,LYNCHING,2,15000
436,LYNCHING - ATTEMPTED,2,15000
910,KIDNAPPING,2,15000
920,KIDNAPPING - GRAND ATTEMPT,2,15000
921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,2,15000
922,CHILD STEALING,2,15000
753,DISCHARGE FIREARMS/SHOTS FIRED,2,5000
755,BOMB SCARE,2,5000
756,WEAPONS POSSESSION/BOMBING,2,5000
437,RESISTING ARREST,2,5000
814,CHILD PORNOGRAPHY,2,3000
822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,2,3000
905,FIREARMS TEMPORARY RESTRAINING ORDER (TEMP FIREARMS RO),2,3000
906,FIREARMS RESTRAINING ORDER (FIREARMS RO),2,3000
761,BRANDISH WEAPON,1,3000
433,DRIVING WITHOUT OWNER CONSENT (DWOC),1,3000
330,BURGLARY FROM VEHICLE,1,2000
410,"BURGLARY FROM VEHICLE, ATTEMPTED",1,2000
331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1,2000
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1,2000
421,THEFT FROM MOTOR VEHICLE - ATTEMPT,1,2000
510,VEHICLE - STOLEN,1,2000
520,VEHICLE - ATTEMPT STOLEN,1,2000
522,"VEHICLE - MOTORIZED SCOOTERS, BICYCLES, AND WHEELCHAIRS",1,1500
210,ROBBERY,1,2000
220,ATTEMPTED ROBBERY,1,2000
438,RECKLESS DRIVING,2,1200
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,1200
440,THEFT PLAIN - PETTY ($950 & UNDER),1,1200
441,THEFT PLAIN - ATTEMPT,1,1200
350,"THEFT, PERSON",1,1200
450,THEFT FROM PERSON - ATTEMPT,1,1200
235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,1,1000
236,INTIMATE PARTNER - AGGRAVATED ASSAULT,1,1000
626,INTIMATE PARTNER - SIMPLE ASSAULT,2,1000
627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,2,1000
622,BATTERY ON A FIREFIGHTER,2,800
623,BATTERY POLICE (SIMPLE),2,800
624,BATTERY - SIMPLE ASSAULT,2,800
625,OTHER ASSAULT,2,800
812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),2,600
813,CHILD ANNOYING (17YRS & UNDER),2,600
860,BATTERY WITH SEXUAL CONTACT,2,600
865,"DRUGS, TO A MINOR",2,600
880,DISRUPT SCHOOL,2,600
882,INCITING A RIOT,2,600
884,FAILURE TO DISPERSE,2,600
886,DISTURBING THE PEACE,2,600
432,BLOCKING DOOR INDUCTION CENTER,2,600
