,neighborhood,year,month_index,Score,lat,lon
0,60031,2010,A,6400,42.3669,-87.9452
1,60031,2010,B,15000,42.3669,-87.9452
2,60031,2010,C,600,42.3669,-87.9452
3,60031,2010,D,6000,42.3669,-87.9452
4,60031,2011,A,7200,42.3669,-87.9452
5,60031,2011,B,2001,42.3669,-87.9452
6,60031,2011,C,22200,42.3669,-87.9452
7,60031,2011,D,17000,42.3669,-87.9452
8,60031,2012,A,2000,42.3669,-87.9452
9,60031,2012,B,15000,42.3669,-87.9452
10,60031,2012,C,12160,42.3669,-87.9452
11,60031,2012,D,4401,42.3669,-87.9452
12,60031,2013,A,7601,42.3669,-87.9452
13,60031,2013,B,34000,42.3669,-87.9452
14,60031,2013,C,2001,42.3669,-87.9452
15,60031,2013,D,800,42.3669,-87.9452
16,60031,2014,A,3600,42.3669,-87.9452
17,60031,2014,B,2002,42.3669,-87.9452
18,60031,2014,C,47161,42.3669,-87.9452
19,60031,2014,D,20200,42.3669,-87.9452
20,60031,2015,A,9400,42.3669,-87.9452
21,60031,2015,B,5281,42.3669,-87.9452
22,60031,2015,C,8401,42.3669,-87.9452
23,60031,2015,D,8000,42.3669,-87.9452
24,60031,2016,A,33483,42.3669,-87.9452
25,60031,2016,B,32000,42.3669,-87.9452
26,60031,2016,C,10401,42.3669,-87.9452
27,60031,2016,D,25400,42.3669,-87.9452
28,60031,2017,A,22001,42.3669,-87.9452
29,60031,2017,B,2400,42.3669,-87.9452
30,60031,2017,C,28000,42.3669,-87.9452
31,60031,2017,D,29000,42.3669,-87.9452
32,60031,2018,A,17600,42.3669,-87.9452
33,60031,2018,B,26921,42.3669,-87.9452
34,60031,2018,C,29281,42.3669,-87.9452
35,60031,2018,D,18000,42.3669,-87.9452
36,60031,2019,A,30600,42.3669,-87.9452
37,60031,2019,B,30802,42.3669,-87.9452
38,60031,2019,C,5201,42.3669,-87.9452
39,60031,2019,D,8000,42.3669,-87.9452
40,90001,2010,A,554727,33.9731,-118.2479
41,90001,2010,B,754945,33.9731,-118.2479
42,90001,2010,C,838233,33.9731,-118.2479
43,90001,2010,D,823260,33.9731,-118.2479
44,90001,2011,A,480274,33.9731,-118.2479
45,90001,2011,B,567778,33.9731,-118.2479
46,90001,2011,C,734794,33.9731,-118.2479
47,90001,2011,D,487898,33.9731,-118.2479
48,90001,2012,A,343375,33.9731,-118.2479
49,90001,2012,B,433521,33.9731,-118.2479
50,90001,2012,C,475329,33.9731,-118.2479
51,90001,2012,D,460908,33.9731,-118.2479
52,90001,2013,A,671691,33.9731,-118.2479
53,90001,2013,B,591702,33.9731,-118.2479
54,90001,2013,C,572604,33.9731,-118.2479
55,90001,2013,D,473318,33.9731,-118.2479
56,90001,2014,A,555375,33.9731,-118.2479
57,90001,2014,B,724078,33.9731,-118.2479
58,90001,2014,C,693700,33.9731,-118.2479
59,90001,2014,D,648296,33.9731,-118.2479
60,90001,2015,A,823181,33.9731,-118.2479
61,90001,2015,B,794513,33.9731,-118.2479
62,90001,2015,C,671796,33.9731,-118.2479
63,90001,2015,D,547401,33.9731,-118.2479
64,90001,2016,A,596560,33.9731,-118.2479
65,90001,2016,B,698677,33.9731,-118.2479
66,90001,2016,C,714653,33.9731,-118.2479
67,90001,2016,D,925549,33.9731,-118.2479
68,90001,2017,A,722387,33.9731,-118.2479
69,90001,2017,B,715597,33.9731,-118.2479
70,90001,2017,C,917149,33.9731,-118.2479
71,90001,2017,D,805372,33.9731,-118.2479
72,90001,2018,A,590025,33.9731,-118.2479
73,90001,2018,B,772477,33.9731,-118.2479
74,90001,2018,C,848499,33.9731,-118.2479
75,90001,2018,D,639435,33.9731,-118.2479
76,90001,2019,A,507928,33.9731,-118.2479
77,90001,2019,B,729350,33.9731,-118.2479
78,90001,2019,C,679478,33.9731,-118.2479
79,90001,2019,D,815331,33.9731,-118.2479
80,90002,2010,A,2612837,33.9497,-118.2462
81,90002,2010,B,2752833,33.9497,-118.2462
82,90002,2010,C,2885096,33.9497,-118.2462
83,90002,2010,D,3350178,33.9497,-118.2462
84,90002,2011,A,2817550,33.9497,-118.2462
85,90002,2011,B,3337721,33.9497,-118.2462
86,90002,2011,C,3033028,33.9497,-118.2462
87,90002,2011,D,2602607,33.9497,-118.2462
88,90002,2012,A,1875831,33.9497,-118.2462
