,level_0,neighborhood,year,month_index,Score,lat,lon
0,0,60031,2020,A,30400,42.3669,-87.9452
1,1,60031,2020,B,19401,42.3669,-87.9452
2,2,60031,2021,B,2000,42.3669,-87.9452
3,3,60031,2021,D,1,42.3669,-87.9452
4,4,60031,2022,A,1200,42.3669,-87.9452
5,5,60031,2022,D,2000,42.3669,-87.9452
6,6,90001,2020,A,670878,33.9731,-118.2479
7,7,90001,2020,B,657112,33.9731,-118.2479
8,8,90001,2020,C,659006,33.9731,-118.2479
9,9,90001,2020,D,424809,33.9731,-118.2479
10,10,90001,2021,A,504333,33.9731,-118.2479
11,11,90001,2021,B,424974,33.9731,-118.2479
12,12,90001,2021,C,946883,33.9731,-118.2479
13,13,90001,2021,D,599170,33.9731,-118.2479
14,14,90001,2022,A,564614,33.9731,-118.2479
15,15,90001,2022,B,894185,33.9731,-118.2479
16,16,90001,2022,C,980278,33.9731,-118.2479
17,17,90001,2022,D,852138,33.9731,-118.2479
18,18,90001,2023,A,513286,33.9731,-118.2479
19,19,90002,2020,A,2019523,33.9497,-118.2462
20,20,90002,2020,B,2375262,33.9497,-118.2462
21,21,90002,2020,C,2010002,33.9497,-118.2462
22,22,90002,2020,D,1895152,33.9497,-118.2462
23,23,90002,2021,A,1682563,33.9497,-118.2462
24,24,90002,2021,B,1744886,33.9497,-118.2462
25,25,90002,2021,C,2085597,33.9497,-118.2462
26,26,90002,2021,D,2208639,33.9497,-118.2462
27,27,90002,2022,A,1880014,33.9497,-118.2462
28,28,90002,2022,B,2015239,33.9497,-118.2462
29,29,90002,2022,C,2076389,33.9497,-118.2462
30,30,90002,2022,D,1915307,33.9497,-118.2462
31,31,90002,2023,A,1249228,33.9497,-118.2462
32,32,90003,2020,A,4288940,33.9653,-118.2727
33,33,90003,2020,B,4920785,33.9653,-118.2727
34,34,90003,2020,C,3944234,33.9653,-118.2727
35,35,90003,2020,D,3651783,33.9653,-118.2727
36,36,90003,2021,A,4192626,33.9653,-118.2727
37,37,90003,2021,B,4113432,33.9653,-118.2727
38,38,90003,2021,C,5238452,33.9653,-118.2727
