,neighborhood,year,month_index,Score,lat,lon,Safety_Index
0,60031,2010,A,6400,42.3669,-87.9452,0.010712592477513433
1,60031,2010,B,15000,42.3669,-87.9452,0.02510988819662822
2,60031,2010,C,600,42.3669,-87.9452,0.0010027883878778788
3,60031,2010,D,6000,42.3669,-87.9452,0.010042950816159257
4,60031,2011,A,7200,42.3669,-87.9452,0.012051875800221785
5,60031,2011,B,2001,42.3669,-87.9452,0.003348208306770881
6,60031,2011,C,22200,42.3669,-87.9452,0.03716343810100339
7,60031,2011,D,17000,42.3669,-87.9452,0.028458096503399102
8,60031,2012,A,2000,42.3669,-87.9452,0.0033465342026174952
9,60031,2012,B,15000,42.3669,-87.9452,0.02510988819662822
10,60031,2012,C,12160,42.3669,-87.9452,0.02035543240101357
11,60031,2012,D,4401,42.3669,-87.9452,0.007366058274895938
12,60031,2013,A,7601,42.3669,-87.9452,0.012723191565729347
13,60031,2013,B,34000,42.3669,-87.9452,0.056917867110951585
14,60031,2013,C,2001,42.3669,-87.9452,0.003348208306770881
15,60031,2013,D,800,42.3669,-87.9452,0.001337609218554967
16,60031,2014,A,3600,42.3669,-87.9452,0.0060251008480342
17,60031,2014,B,2002,42.3669,-87.9452,0.003349882410924266
18,60031,2014,C,47161,42.3669,-87.9452,0.07895075187365737
19,60031,2014,D,20200,42.3669,-87.9452,0.03381522979423251
20,60031,2015,A,9400,42.3669,-87.9452,0.015734904937669752
21,60031,2015,B,5281,42.3669,-87.9452,0.008839269929875125
22,60031,2015,C,8401,42.3669,-87.9452,0.0140624748884377
23,60031,2015,D,8000,42.3669,-87.9452,0.013391159122930138
24,60031,2016,A,33483,42.3669,-87.9452,0.056052355263651314
25,60031,2016,B,32000,42.3669,-87.9452,0.05356965880418071
26,60031,2016,C,10401,42.3669,-87.9452,0.01741068319520858
27,60031,2016,D,25400,42.3669,-87.9452,0.042520571391836806
28,60031,2017,A,22001,42.3669,-87.9452,0.036830291374479684
29,60031,2017,B,2400,42.3669,-87.9452,0.004016175863971671
30,60031,2017,C,28000,42.3669,-87.9452,0.046873242190638945
31,60031,2017,D,29000,42.3669,-87.9452,0.04854734634402439
32,60031,2018,A,17600,42.3669,-87.9452,0.029462558995430363
33,60031,2018,B,26921,42.3669,-87.9452,0.04506688380913605
